#     aLat (AA)   energy (eV/atom)
       5.100000     -7873.891651
       5.200000     -7874.016216
       5.300000     -7874.086926
       5.400000     -7874.112326
       5.500000     -7874.100615
       5.600000     -7874.058393
       5.700000     -7873.991945
