# V [A^3]        E_coh [eV]    
     34.460500      -2.992460
     37.044000      -2.788650
     39.753500      -2.586721
     42.592000      -2.386466
     45.562500      -2.193042
     48.668000      -2.010057
     51.911500      -1.836720
     55.296000      -1.669285
     58.824500      -1.504196
     62.500000      -1.342304
     66.325500      -1.188131
     70.304000      -1.048794
     74.438500      -0.925916
     78.732000      -0.810514
     83.187500      -0.693658
     87.808000      -0.574037
     92.596500      -0.457090
