#     aLat (AA)   energy (eV/atom)
       5.100000     -7873.889043
       5.200000     -7874.013839
       5.300000     -7874.084705
       5.400000     -7874.110193
       5.500000     -7874.098502
       5.600000     -7874.056236
       5.700000     -7873.989680
