#     aLat (AA)   energy (eV/atom)
       5.100000     -7873.512875
       5.200000     -7873.657847
       5.300000     -7873.746315
       5.400000     -7873.787012
       5.500000     -7873.788192
       5.600000     -7873.756703
       5.700000     -7873.699117
